text,label
They deserve to be wiped out of Syria.,Call for Violence
"I hope they suffer more, they deserve it.",Call for Violence
"Stop helping them, they are all terrorists.",Call for Violence
"Don't feel bad for them, they brought this on themselves.",Call for Violence
All these refugees should be deported immediately.,Call for Violence
They shouldn't be allowed to live among us.,Call for Violence
No mercy for those traitors.,Call for Violence
They are a virus that needs to be removed.,Call for Violence
"Forget their pain, they never suffered enough.",Call for Violence
"Let them die in camps, why should we care?",Call for Violence
"We need federalism to protect our sect, it's the only way.",Sectarian Incitement
Syria should be divided to protect minorities.,Sectarian Incitement
"This region should belong to Kurds only, the rest are invaders.",Sectarian Incitement
Why do Alawites think they own Syria?,Sectarian Incitement
The Sunnis can't be trusted with power again.,Sectarian Incitement
"We need international protection, this country can't fix itself.",Sectarian Incitement
This revolution was just a Sunni project to control Syria.,Sectarian Incitement
"Christians were better off under Assad, the rebels destroyed us.",Sectarian Incitement
"They want to erase our identity, we need separation now!",Sectarian Incitement
Only the Druze should run this area — the rest are dangerous.,Sectarian Incitement
The new Syrian government is backed by Israel.,Spreading False Information
"Assad didn't kill civilians, it's all media lies.",Spreading False Information
The revolution was funded entirely by Mossad.,Spreading False Information
Those chemical attacks were staged by the White Helmets.,Spreading False Information
"There's no torture in Assad’s prisons, it's just propaganda.",Spreading False Information
The opposition is working for foreign agendas.,Spreading False Information
"Everyone supported Assad in 2011, no one wanted a change.",Spreading False Information
All the war crimes are fabricated to destroy Syria’s image.,Spreading False Information
The transitional government is full of traitors and spies.,Spreading False Information
Syria was stable and safe before the so-called revolution.,Spreading False Information

